id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
1023,Casa,Alquiler,3.0,140.0,Dólares,Bº Valle Escondido,08.10.2023,VALLE ESCONDIDO - CASA - ALQUILER TEMPORARIO
1024,Casa,Alquiler,3.0,2000.0,Dólares,Bº Tejas 2,08.10.2023,TEJAS TRES - CASA -ALQUILER UNICA
1025,Comercio,Alquiler,,320000.0,Pesos,Bº Nueva Córdoba,08.10.2023,Alquiler CASONA NUEVA CORDOBA
1026,Comercio,Alquiler,,14700.0,Pesos,Bº Cofico,08.10.2023,ALQUILER- Cochera Bv. Los Andes 785
1027,Comercio,Alquiler,,5000.0,Dólares,Bº Miralta,08.10.2023,NAVE INDUSTRIAL EN ALQUILER – POLO 52
1028,Departamento,Alquiler,3.0,1800.0,Dólares,Bº Centro,08.10.2023,Departamento 3 DORMITORIOS c / cochera CENTRO. AMOBLADO CATEGORIA zona Patio Olmos
1029,Departamento,Alquiler,2.0,380000.0,Pesos,Bº Tejas 1,08.10.2023,Alquiler Casonas De Valparaiso dos (2) dormitorios
1030,Casa,Alquiler,4.0,550000.0,Pesos,Bº General Paz,08.10.2023,"Alquiler 4 dptos en Bloque p /  Empresa Apto profesional,  coworking- General Pa"
1031,Comercio,Alquiler,,95000.0,Pesos,Bº Centro,08.10.2023,Alquiler local comercial en planta alta con dos baños en peatonal
1032,Departamento,Alquiler,2.0,160000.0,Pesos,Bº Las Dalias,08.10.2023,Duplex Alquiler B°Las Dalias 2 DOR
1033,Departamento,Alquiler,1.0,210000.0,Pesos,Bº Nueva Córdoba,08.10.2023,B° Nva Cba - Alq. Temporal- 1 Dorm - Balcon- Moderno - Amoblado c / Aire!
1034,Comercio,Alquiler,,70000.0,Pesos,Bº Centro,08.10.2023,CENTRO - 9 de Julio -OFICINA C / BAÑO PROPIO $70.000.-
1035,Comercio,Alquiler,,150000.0,Pesos,Bº Santa Isabel,08.10.2023,SANTA ISABEL II - CASA MUY AMPLIA CON PATIO $150.000.-
1036,Comercio,Alquiler,,185000.0,Pesos,Bº Centro,08.10.2023,"Barrio centro: zona legislatura,  frente paseo de las flores,  al costado plaza"
1038,Comercio,Alquiler,,18000.0,Dólares,Bº Los Boulevares,08.10.2023,GALPÓN DE EN ALQUILER EN LOS BOULEVARES - COLECTORA CIRCUNVALACIÓN  NORT
1039,Comercio,Alquiler,,12000.0,Dólares,Bº Los Boulevares,08.10.2023,GALPÓN DE 2000 EN ALQUILER EN LOS BOULEVARES - COLECTORA CIRCUNVALACIÓN  NORTE
1040,Comercio,Alquiler,,60000.0,Pesos,Bº Sarmiento,08.10.2023,LOCALES PARA COMERCIO
1041,Comercio,Alquiler,,50000.0,Pesos,Bº Centro,08.10.2023,ALQUILO OFICINAS PASEO MUÑOZ CENTRO 
1042,Comercio,Alquiler,,110000.0,Pesos,Bº Centro,08.10.2023,Gal San Martín! 4 Locales. 5m2 a 250m2.Peatonal. Zona Peatonal. 4r-42.
1043,Comercio,Alquiler,,16000.0,Pesos,Bº Cofico,08.10.2023,Cochera | 9 de Julio 700 | Centro
1044,Comercio,Alquiler,,120000.0,Pesos,Bº General Paz,08.10.2023,"B Gral Paz,  Excelente Ubicación ,  Local comercial,  a mts de 24 de  Septiembre."
1045,Comercio,Alquiler,,130000.0,Pesos,Bº General Paz,08.10.2023,"ALQ. LOCAL,  PISO COMPLETO 200MTS2. CON VESTUARIOS,  A METROS DEL CENTRO"
1046,Comercio,Alquiler,,40000.0,Pesos,Bº Alberdi,08.10.2023,LOCAL EN ALQUILER!!! DOMINGO ZIPOLI Y AV. COLON!!!INMEJORABLE ZONA !!!
1047,Comercio,Alquiler,,60000.0,Pesos,Bº Pueyrredon,08.10.2023,Alquila local Comercial a metros de Barrio General paz
1048,Departamento,Alquiler,2.0,75000.0,Pesos,Bº San Roque,08.10.2023,Casa de 2 dormitorios - Camilo Isleño 4365
1049,Comercio,Alquiler,,38000.0,Pesos,Bº Centro,08.10.2023,Galería San Martín! 4 Locales. 5m2 a 250m2.Peatonal. Zona Peatonal. 4r-42.-
1051,Comercio,Alquiler,,70000.0,Pesos,Bº Villa el Libertador,08.10.2023,"LOCAL FRENTE CPC,  CON BAÑO,  EXCELENTE UBICACION"
1052,Comercio,Alquiler,,4500.0,Dólares,Bº Manantiales,08.10.2023,Ciudad Empresaria - Excelente oficina 450 mts 5 cocheras
1053,Comercio,Alquiler,,607500.0,Pesos,Bº Los Boulevares,08.10.2023,Ciudad Empresaria - Excelente oficina 450 mts 5 cocheras
1054,Comercio,Alquiler,,118000.0,Pesos,Bº San Vicente,08.10.2023,San Vicente - Local comercial - 70m2 - OPORTUNIDAD
1055,Casa,Alquiler,3.0,280000.0,Pesos,Bº Cerro de las Rosas,08.10.2023,ALQUILER EN Bº CERRO DE LAS ROSAS - SOLO CON FINES COMERCIALES / PROFESIONALES
1056,Departamento,Alquiler,1.0,27000.0,Dólares,Bº Guemes,08.10.2023,vendo depto 1 dormitorio B°Guemes
1057,Comercio,Alquiler,,300000.0,Pesos,Bº San Carlos,08.10.2023,TERRENO EN ALQUILER-CAMINO 60 CUADRAS KM 5.5
1058,Comercio,Alquiler,,195000.0,Pesos,Bº Centro,08.10.2023,CENTRO - IMPORTANTES OFICINAS EN ALQUILER DE PISO COMPLETO
1061,Comercio,Alquiler,,400000.0,Pesos,Bº Guemes,08.10.2023,Lote 3 oficinas. 1600 Mts. Frente a NUEVO PASEO GUEMES!!!!!!!!!!
1062,Comercio,Alquiler,,450000.0,Pesos,Bº Los Boulevares,08.10.2023,Av Japon y Variante Juarez Celman predio de 7800m2 en alquiler
1063,Comercio,Alquiler,,85000.0,Pesos,Bº General Bustos,08.10.2023,GALPON - LOCAL 250 m2. Av. Alem 398 esquina Gianelli
1064,Departamento,Alquiler,1.0,120000.0,Pesos,Bº Centro,08.10.2023,"CENTRO,  CON BALCÓN. COMPLEJO SANTO DOMINGO"
1065,Comercio,Alquiler,,230000.0,Pesos,Bº General Paz,08.10.2023,SALVATIERRA ALQUILA - INMUEBLE PARA  OFICINA-PROFESIONALES-INSTIT.EDUCATIVAS-ETC
1066,Casa,Alquiler,3.0,180000.0,Pesos,Bº Residencial America,08.10.2023,Alquilo Casa de 3 Dor. Bº Residencial América
1067,Departamento,Alquiler,1.0,180000.0,Pesos,Bº General Paz,08.10.2023,★★ Pringles 139 - Totalmente Amoblado ★★ 
1068,Comercio,Alquiler,,65000.0,Pesos,Bº Centro,08.10.2023,Local en Alquiler sobre santa rosa casi sucre
1071,Comercio,Alquiler,,1300.0,Pesos,Bº General Paz,08.10.2023,ALQUILER. ESPECTACULAR PROPIEDAD MIL MTS2. NO PAGA EXPENSAS. IDEAL COMERCIAL
1072,Comercio,Alquiler,,15000.0,Pesos,Bº Centro,08.10.2023,SE ALQUILA LOCAL EN EL CENTRO
1073,Comercio,Alquiler,,260000.0,Pesos,Bº Alberdi,08.10.2023,KABAL'S ALQUILA LOCAL COMERCIAL A TERMINAR 
1075,Departamento,Alquiler,1.0,130000.0,Pesos,Bº Centro,08.10.2023,ALQUILER - 1 DORM A UNA CUADRA DEL PASEO MARQUEZ DE SOBREMONTE - B° CENTRO
1076,Comercio,Alquiler,,111111.0,Pesos,Bº Centro,08.10.2023,Alquilo Oficinas S / Av Colon 600m2
