id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
598,null,Alquiler,,100000.0,Pesos,Bº Nueva Córdoba,23.06.2023,NVA CBA-FRUCT RIVERA 64-DPTO 1DORM EXC UBIC-GUARDIA SEG
599,null,Alquiler,,45000.0,Pesos,Bº Urca,23.06.2023,ALQUILER DPTO BARRIO URCA
600,null,Alquiler,,100000.0,Pesos,Bº Nueva Córdoba,21.06.2023,"Nva. Cba-Cañada y S. Juan,  Ext Vista a Cañada,  2Balc,  Coc / Sep,  mts Ptio Olmos"
601,null,Alquiler,,100000.0,Pesos,Bº Crisol Norte,21.06.2023,Departamento en Alquiler En Complejo Cerrado Pilay Futura
602,null,Alquiler,,100000.0,Pesos,Bº Sargento Cabral,19.06.2023,Av. Cornelio Saavedra al 3480
603,null,Alquiler,,90000.0,Pesos,Bº Alberdi,15.06.2023,ALBERDI - PLANTA ALTA - 2 dorm 2 baños c / terraza
604,null,Alquiler,,70000.0,Pesos,Bº Pueyrredon,14.06.2023,BARRIO PUEYRREDON- COCHABAMBA- DPTO. 1 DORM. - 
605,null,Alquiler,,130000.0,Pesos,Bº General Paz,12.06.2023,Con Video! 2d Gral Paz + Coch Opcional. Calefacción. Sum. Piscina. 4R 334
606,null,Alquiler,,130000.0,Pesos,Bº Nueva Córdoba,09.06.2023,ALQ. 1 DOR. - BUENOS AIRES 740 - NUEVA CÓRDOBA ZONA BUEN PASTOR
607,null,Alquiler,,100000.0,Pesos,Bº General Paz,09.06.2023,alquiler 1 dormitorio con balcón
608,null,Alquiler,,150000.0,Pesos,Bº Los Olmos Sud,02.06.2023,Complejo Bardas  /  /  Alquiler  /  /  2 Dorm  /  /  2 Bñs  /  /  Seg24hs  /  /  2 Balcones
609,null,Alquiler,,110000.0,Pesos,Bº General Paz,02.06.2023,Departamento ideal para una familia de 3 a 4 personas en Gral Paz!!!!
610,null,Alquiler,,220000.0,Pesos,Bº Chateau Carreras,02.06.2023,OPORTUNIDAD!! 2 DORMITORIOS + COCHERA EN COMPLEJO LIVETTE
612,null,Alquiler,,100350.0,Pesos,Bº Alberdi,30.05.2023,alberdi 2 dormitorios
613,null,Alquiler,,68350.0,Pesos,Bº San Martin,30.05.2023,hermoso depto 2 dorm san martin
614,null,Alquiler,,110000.0,Pesos,Bº Nueva Córdoba,24.05.2023,NUEVA CÓRDOBA- A. OLMOS 691 mts CIUDAD UNIVERSITARIA-2DORM
615,null,Alquiler,,80000.0,Pesos,Bº San Martin,24.05.2023,B° SAN MARTIN - DPTO. 1 DORM - C. SAAVEDRA 520
616,null,Alquiler,,90000.0,Pesos,Bº Valle del Cerro,24.05.2023,VALLE DEL CERRO DÚPLEX PLANTA ALTA. EXCELENTE ZONA. SÓLO USO COMERCIAL
619,null,Alquiler,,140000.0,Pesos,Bº San Martin,10.05.2023,ALQUILO CASA 3 DORM C / PATIO B° SAN MARTIN
621,null,Alquiler,,40000.0,Pesos,Bº Chateau Carreras,30.03.2023,LOCAL COMERCIAL COMPLETAMENTE AMOBLADO EN ZONA NORTE
623,null,Alquiler,,70000.0,Pesos,Bº Centro,22.02.2023,Pleno Centro - Oportunidad increible!!
627,null,Alquiler,,150000.0,Pesos,Bº Prados de Manantiales,09.12.2022,Prados de Manantiales. Realmente único en Calidad. Ver para creer!
628,null,Alquiler,,47000.0,Pesos,Bº Centro,01.12.2022,Hermoso Depto 1 dorm Interno Cañada y Colon
636,null,Alquiler,,55000.0,Pesos,Bº Observatorio,08.10.2023,AV. PUEYRREDON 1043 OBSERVATORIO LOCAL COMERCIAL EN ALQUILER 
637,null,Alquiler,,300000.0,Pesos,Bº Urca,08.10.2023,ALQUILA -  COSTANERA - URCA - DUPLEX 3 DORM DOS BAÑOS
1247,null,Alquiler,,120000.0,Pesos,Bº Centro,06.10.2023,CENTRO - ALQUILER - Te lo vas a perder? INCREIBLE ZONA! 1D!
1248,null,Alquiler,,125000.0,Pesos,Bº Nueva Córdoba,06.10.2023,ALQUILER -  AMPLIA OFICINA FRENTE AL MERCADO SUD - NUEVA CÓRDOBA
1273,null,Alquiler,,130000.0,Pesos,Bº Santa Rita,05.10.2023,2 DORMITORIOS 
1274,null,Alquiler,,175000.0,Pesos,Bº Nueva Córdoba,05.10.2023,B° Nva Cba - Illia 413 – 1 Dorm Aire Ac – Moderno  / Luminoso – Balcón
1284,null,Alquiler,,180000.0,Pesos,Bº Claros del Bosque,04.10.2023,LOCAL 11 DE SEPTIEMBRE Y CIRCUNVALACION! 100 MTS!!
