TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
Casa,Alquiler,1.0,1500.0,Dólares,Bº Villa Eucarística,05.07.2023,Alquiler Casa Quinta 5.000mts en Complejo Cerrado Zona Sur
Departamento,Alquiler,1.0,100000.0,Pesos,Bº General Paz,04.07.2023,1 DOR GRAL PAZ C / BALCON 
Departamento,Alquiler,1.0,100000.0,Pesos,Bº Nueva Córdoba,23.06.2023,NVA CBA-FRUCT RIVERA 64-DPTO 1DORM EXC UBIC-GUARDIA SEG
Departamento,Alquiler,1.0,45000.0,Pesos,Bº Urca,23.06.2023,ALQUILER DPTO BARRIO URCA
Departamento,Alquiler,1.0,100000.0,Pesos,Bº Nueva Córdoba,21.06.2023,"Nva. Cba-Cañada y S. Juan,  Ext Vista a Cañada,  2Balc,  Coc / Sep,  mts Ptio Olmos"
Departamento,Alquiler,1.0,100000.0,Pesos,Bº Crisol Norte,21.06.2023,Departamento en Alquiler En Complejo Cerrado Pilay Futura
Departamento,Alquiler,1.0,100000.0,Pesos,Bº Sargento Cabral,19.06.2023,Av. Cornelio Saavedra al 3480
Departamento,Alquiler,2.0,90000.0,Pesos,Bº Alberdi,15.06.2023,ALBERDI - PLANTA ALTA - 2 dorm 2 baños c / terraza
Departamento,Alquiler,1.0,70000.0,Pesos,Bº Pueyrredon,14.06.2023,BARRIO PUEYRREDON- COCHABAMBA- DPTO. 1 DORM. - 
Departamento,Alquiler,1.0,130000.0,Pesos,Bº General Paz,12.06.2023,Con Video! 2d Gral Paz + Coch Opcional. Calefacción. Sum. Piscina. 4R 334
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Nueva Córdoba,09.06.2023,ALQ. 1 DOR. - BUENOS AIRES 740 - NUEVA CÓRDOBA ZONA BUEN PASTOR
Departamento,Alquiler,1.0,100000.0,Pesos,Bº General Paz,09.06.2023,alquiler 1 dormitorio con balcón
Departamento,Alquiler,2.0,150000.0,Pesos,Bº Los Olmos Sud,02.06.2023,Complejo Bardas  /  /  Alquiler  /  /  2 Dorm  /  /  2 Bñs  /  /  Seg24hs  /  /  2 Balcones
Departamento,Alquiler,1.0,110000.0,Pesos,Bº General Paz,02.06.2023,Departamento ideal para una familia de 3 a 4 personas en Gral Paz!!!!
Departamento,Alquiler,2.0,220000.0,Pesos,Bº Chateau Carreras,02.06.2023,OPORTUNIDAD!! 2 DORMITORIOS + COCHERA EN COMPLEJO LIVETTE
Departamento,Alquiler,2.0,100350.0,Pesos,Bº Alberdi,30.05.2023,alberdi 2 dormitorios
Departamento,Alquiler,2.0,68350.0,Pesos,Bº San Martin,30.05.2023,hermoso depto 2 dorm san martin
Departamento,Alquiler,2.0,110000.0,Pesos,Bº Nueva Córdoba,24.05.2023,NUEVA CÓRDOBA- A. OLMOS 691 mts CIUDAD UNIVERSITARIA-2DORM
Departamento,Alquiler,1.0,80000.0,Pesos,Bº San Martin,24.05.2023,B° SAN MARTIN - DPTO. 1 DORM - C. SAAVEDRA 520
Departamento,Alquiler,1.0,90000.0,Pesos,Bº Valle del Cerro,24.05.2023,VALLE DEL CERRO DÚPLEX PLANTA ALTA. EXCELENTE ZONA. SÓLO USO COMERCIAL
Departamento,Alquiler,3.0,140000.0,Pesos,Bº San Martin,10.05.2023,ALQUILO CASA 3 DORM C / PATIO B° SAN MARTIN
Departamento,Alquiler,1.0,40000.0,Pesos,Bº Chateau Carreras,30.03.2023,LOCAL COMERCIAL COMPLETAMENTE AMOBLADO EN ZONA NORTE
