TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
Departamento,Alquiler,1.0,150000.0,Pesos,Bº Nueva Córdoba,07.09.2023,Departamento en alquiler Nueva cordoba 1 dormitorio
Departamento,Alquiler,2.0,80000.0,Pesos,Bº Altamira,06.09.2023,ALQUILO LINDA CASITA 2 DORM. BUENA UBICACION (Altamira)
Departamento,Alquiler,1.0,120000.0,Pesos,Bº Alberdi,05.09.2023,Depto luminoso y amplio zona Nvo Centro Shopping
Departamento,Alquiler,1.0,140000.0,Pesos,Bº General Paz,04.09.2023,DEPARTAMENTO 1 DORMITORIO - GRAL PAZ
Departamento,Alquiler,1.0,70000.0,Pesos,Bº Ameghino Norte,31.08.2023,"Bº AMEGHINO NORTE,  PROPIEDAD A MEJORAR PARA ALQUILAR EN CÓRDOBA"
Departamento,Alquiler,1.0,14.0,Pesos,Bº Centro,29.08.2023,ALQUILO COCHERA CENTRO
Departamento,Alquiler,1.0,400000.0,Pesos,Bº Guiñazú Sur,22.08.2023,"EXCELENTE Galpon en Avda,  Japon 5000m2 terreno entrada camiones"
Casa,Alquiler,1.0,120000.0,Pesos,Bº Empalme,16.08.2023,"ALQUILO Casa B° Empalme,  DOS DROMITORIOS"
Departamento,Alquiler,2.0,125000.0,Pesos,Bº Las Palmas,16.08.2023,Alquilo casa 2 dormitorios Barrio Las Palmas
Departamento,Alquiler,3.0,250000.0,Pesos,Bº Prados de Manantiales,15.08.2023,Para Sept DUPLEX 3 dorm A ESTRENAR
Departamento,Alquiler,1.0,60000.0,Pesos,Bº General Bustos,14.08.2023,DEPARTAMENTO 1 DORM. EN Bº GRAL. BUSTOS
Departamento,Alquiler,1.0,90000.0,Pesos,Bº Yofre Norte,11.08.2023,EXCELENTE Y AMPLIO PH EN PB - 1 DORMI C /  PATIO Y COCHERA PASANTE - VENI A  VERLO!
Departamento,Alquiler,2.0,170000.0,Pesos,Bº Alberdi,11.08.2023,ALQUILER - EXCELENTE DPTO DE CATEGORIA - 2 DORMITORIOS
Departamento,Alquiler,1.0,85000.0,Pesos,Bº Bialet Masse,05.08.2023,B° Bialet Masse - Excelente ubicacion!
Departamento,Alquiler,1.0,120000.0,Pesos,null,04.08.2023,DEPARTAMENTO EN ALQUILER EN BARRIO GENERAL PAZ
Departamento,Alquiler,1.0,400000.0,Pesos,Bº Arguello Norte,03.08.2023,ALQUILO LOCAL AL LADO DEL SUPERMERCADO DISCO EN MARTINOLLI 7178
Departamento,Alquiler,2.0,120000.0,Pesos,Bº Cofico,03.08.2023,Alquiler dpto de 2 dorm. en barrio Cofico
Departamento,Alquiler,1.0,140000.0,Pesos,Bº Nueva Córdoba,02.08.2023,NVA CBA ITUZANGO 575 ESQ SAN LORENZO 1 DOR BALCON
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Nueva Córdoba,02.08.2023,NVA CBA ITUZANGO 575 ESQ SAN LORENZO 1 DOR BALCON
Departamento,Alquiler,2.0,160000.0,Pesos,Bº Alta Córdoba,02.08.2023,Alquilo dpto 2 dorm. Alta Córdoba. Córdoba
Departamento,Alquiler,2.0,140000.0,Pesos,Bº Centro,30.07.2023,Alquiler Temporario en El Centro - 2 Dorm
Departamento,Alquiler,1.0,16500.0,Pesos,Bº Guemes,29.07.2023,Solamente auto chico últimas ubicaciones
Departamento,Alquiler,1.0,15.0,Pesos,Bº Villa Sol,29.07.2023,Alquilo cochera C villasol
Departamento,Alquiler,1.0,55000.0,Pesos,Bº General Mosconi,29.07.2023,Alquilo dpto planta alta para 1 persona
Departamento,Alquiler,1.0,1000.0,Dólares,Bº Valle Escondido,29.07.2023,Barrio El Balcon - Valle Escondido
Departamento,Alquiler,2.0,125000.0,Pesos,Bº Centro,29.07.2023,ALQUILER DPTO 2 DORM - PROXIMO A NUEVA CBA
Departamento,Alquiler,1.0,110000.0,Pesos,Bº Alto Alberdi,28.07.2023,1 DORM BALCON QUINCHO CON ASADOR Y PISCINA
Casa,Alquiler,2.0,100000.0,Pesos,Bº Empalme,27.07.2023,Casa 2 dormitorios en barrio empalme
Departamento,Alquiler,1.0,13500.0,Pesos,Bº Centro,24.07.2023,B° CENTRO – OFICINA EN ALQUILER
Departamento,Alquiler,3.0,2000.0,Dólares,Bº Lomas de la Carolina,24.07.2023,"EXCEPCIONAL CASA DE 3 DORMITORIOS,  COCHERA Y PILETA. SEGURIDAD"
Departamento,Alquiler,1.0,40000.0,Pesos,Bº Pueyrredon,21.07.2023,B° PUERREDON A METROS DE BANCO PATAGONIA
Departamento,Alquiler,1.0,400000.0,Pesos,Bº Villa Cabrera,19.07.2023,Alquiler de  galpón o local  en villa Cabrera  de 350 mts  a estrenar 
Departamento,Alquiler,1.0,110000.0,Pesos,Bº General Paz,13.07.2023,EXCELENTE - PB - 2 PATIOS - 1 DORM 1 BAÑO -
Departamento,Alquiler,3.0,195000.0,Pesos,Bº Villa Belgrano,07.07.2023,3 DORM 3 BAÑOS LIVING COMEDOR COCINA QUINCHO PATIO TERRAZA
Departamento,Alquiler,1.0,55000.0,Pesos,Bº Residencial Oeste,02.07.2023,DEPARTAMENTO DE UN DORMITORIO B° RESIDENCIAL OESTE CALLE FELIX PAZ 1226
Departamento,Alquiler,1.0,80000.0,Pesos,Bº Chateau Carreras,29.06.2023,VILLASOL - ALQUILO DPTO 1 DORM LIV. COM. COCINA AMERICANA
Departamento,Alquiler,1.0,80000.0,Pesos,Bº Chateau Carreras,28.06.2023, VILLASOL - ALQUILO DPTO 1 DORM LIV. COM. COCINA AMERICANA
Comercio,Alquiler,1.0,20000.0,Pesos,Bº Centro,28.06.2023,Local Alquiler Galería Pasaje Central Centro Córdoba
Departamento,Alquiler,1.0,70000.0,Pesos,Bº Alto Alberdi,20.06.2023,ALQUILO A. ALBERDI. 1 DORMITORIO.
Departamento,Alquiler,2.0,115000.0,Pesos,Bº Alta Córdoba,15.06.2023,"2 dormitorios,  alta cordoba,  categoria"
Departamento,Alquiler,1.0,67000.0,Pesos,Bº Alta Córdoba,09.06.2023,Copia de Alquilo casa ANTIGUA ( EXCELENTE UBICACIÓN)
Departamento,Alquiler,1.0,78000.0,Pesos,Bº Providencia,08.06.2023,Providencia 1 Dorm con Patio a metros de la Plaza Rafael Nuñez
Departamento,Alquiler,1.0,75000.0,Pesos,Bº Centro,07.06.2023,MAIPÚ 11 -Excelente depto 1 dormitorio
Departamento,Alquiler,1.0,90000.0,Pesos,Bº Nueva Córdoba,02.06.2023,ALQUILER DEPARTAMENTO UN DORMITORIO BARRIO NUEVA CORDOBA
Departamento,Alquiler,1.0,180000.0,Pesos,null,02.06.2023,Dúplex A Estrenar En Venta - Colinas de Manantiales
Casa,Alquiler,4.0,110000.0,Pesos,Bº San Martin,29.05.2023,Casa Amplia 4Dor c / cochera 
Departamento,Alquiler,1.0,63000.0,Pesos,Bº Carrara de horizonte,26.05.2023,Alquilo casa 1 dorm. Barrio Carrara de Horizonte Norte.
Departamento,Alquiler,2.0,180000.0,Pesos,Bº Docta Urbanización Inteligente,23.05.2023,Alquiler casa 2 dormitorios zona norte 
Departamento,Alquiler,1.0,115000.0,Pesos,Bº General Paz,22.05.2023,Alquiler de departamento en barrio General Paz
Departamento,Alquiler,3.0,140000.0,Pesos,Bº San Martin Norte,16.05.2023,Departamento 3 dormitorios en alquiler - San Martin
Departamento,Alquiler,2.0,75000.0,Pesos,Bº Marq. de Sobremonte,15.05.2023,ALQUILO Hermoso Depart. 2 Dor. c / coch. Marques de Sobremont
Departamento,Alquiler,1.0,50000.0,Pesos,Bº Colinas de V. Sarsfield,15.05.2023,Alquiler depto 1 dormi Colinas
Casa,Alquiler,1.0,90000.0,Pesos,Bº Carrara de horizonte,09.05.2023,Casa en Alquiler Carrara Sur
Departamento,Alquiler,1.0,120000.0,Pesos,Bº General Paz,05.05.2023,DUEÑO ALQUILA DEPTO A ESTRENAR
Departamento,Alquiler,1.0,120000.0,Pesos,Bº Centro,05.05.2023,CENTRO 27 de Abril 757 ext categ
Departamento,Alquiler,1.0,800000.0,Pesos,Bº Los Boulevares,05.05.2023,1000m2 planta libre + 100m2 Oficinas PATRÓN IVa (GA 518)
Comercio,Alquiler,1.0,155000.0,Pesos,Bº Centro,05.05.2023,Local esquina 90 MTS B CENTRO
Departamento,Alquiler,2.0,110000.0,Pesos,Bº Alberdi,05.05.2023,Alberdi - 2 Dorm con patio
Departamento,Alquiler,1.0,85000.0,Pesos,Bº Centro,04.05.2023,Departamento de 1 dormitorio en calle Balcarce a una cuadra de la terminal
Departamento,Alquiler,1.0,25000.0,Pesos,null,09.02.2023,ALQUILO LOCAL SOBRE CASTILLA A METROS DE PROV. VASCONGADAS
Departamento,Alquiler,1.0,3800.0,Pesos,Bº Alta Córdoba,27.12.2022,Cocheras para MOTOS mensuales Alta Cba.  Sin comisión
Departamento,Alquiler,1.0,90000.0,Pesos,Bº Centro,13.12.2022,Alquilo casa centro planta alra
Departamento,Alquiler,1.0,50000.0,Pesos,Bº Cofico,12.12.2022,Dpto a ESTRENAR 1 dor c / balcón  sobre Rodriguez Peña a Mts de Bedoya (Cofico)
Casa,Alquiler,1.0,90000.0,Pesos,Bº Centro,10.12.2022,"Alquiler Casa Planta Alta ,  preferiblemente comercial"
Departamento,Alquiler,1.0,10000.0,Pesos,Bº Centro,11.11.2022,CENTRO Oficina / local 45M2
Comercio,Alquiler,1.0,10000.0,Pesos,Bº Centro,11.11.2022,Local 45m2 Galería Céntrica !!!
